id,topic_en,topic_ko,keywords
guide_045,"Quiet Work Cafes in Sapporo","Sapporo work cafe list (KO)","sapporo work cafe wifi"
guide_046,"Best Dessert Cafes in Sapporo","Sapporo dessert cafe picks (KO)","sapporo dessert cafe"
guide_047,"Best Cafes Near Sapporo Station","Sapporo station nearby cafes (KO)","sapporo station cafe"
guide_048,"Best Cafes Near Odori Park","Odori park cafe map (KO)","odori park cafe"
guide_049,"One-Day Sapporo Cafe Route","Sapporo one day cafe route (KO)","sapporo cafe route"
guide_050,"Beginner Guide to Cafe Hopping in Sapporo","Sapporo cafe hopping basics (KO)","sapporo cafe hopping"
guide_051,"Top 10 Cafes in Japan for Digital Nomads","Japan digital nomad cafes (KO)","japan laptop cafe"
guide_052,"How to Find Cafes with Power Outlets in Japan","Japan power outlet cafe tips (KO)","japan cafe power outlet"
guide_053,"How to Choose Specialty Coffee in Japan","Japan specialty coffee tips (KO)","japan specialty coffee tips"
guide_054,"Coffee Bean Levels Explained in Japanese Cafes","Japanese cafe bean levels (KO)","coffee roast level japan"
guide_055,"Best Time to Visit Popular Cafes in Japan","Best time Japan cafes (KO)","japan cafe best time"
guide_056,"Cafe Etiquette in Japan for First-Time Visitors","Japan cafe etiquette guide (KO)","japan cafe etiquette"
guide_057,"How to Read Japanese Cafe Menus","Japanese cafe menu basics (KO)","japanese cafe menu"
guide_058,"Cashless Payment Tips for Japanese Cafes","Japan cafe payment methods (KO)","japan cafe cashless"
guide_059,"How to Avoid Peak Hours at Trending Cafes","Avoid queue at Japan cafes (KO)","japan cafe queue tips"
guide_060,"How to Build a 3-Day Japan Cafe Itinerary","3 day Japan cafe itinerary (KO)","japan cafe itinerary"
guide_061,"Tokyo East Side Cafe Guide: Asakusa to Ueno","Tokyo east side cafes (KO)","asakusa ueno cafe"
guide_062,"Tokyo West Side Cafe Guide: Shibuya to Kichijoji","Tokyo west side cafes (KO)","shibuya kichijoji cafe"
guide_063,"Best Cafes for Solo Travelers in Tokyo","Tokyo solo traveler cafes (KO)","tokyo solo cafe"
guide_064,"Best Cafes for Couples in Tokyo","Tokyo couple cafe spots (KO)","tokyo date cafe"
guide_065,"Best Breakfast Cafes in Tokyo","Tokyo breakfast cafes (KO)","tokyo breakfast cafe"
guide_066,"Best Evening Cafes in Tokyo","Tokyo evening cafe list (KO)","tokyo evening cafe"
guide_067,"Best Cafes with Scenic Views in Tokyo","Tokyo scenic view cafes (KO)","tokyo view cafe"
guide_068,"Best Budget Cafes in Tokyo","Tokyo budget cafes (KO)","tokyo cheap cafe"
guide_069,"Best Signature Latte Cafes in Tokyo","Tokyo signature latte cafes (KO)","tokyo latte cafe"
guide_070,"Best Hidden Alleys with Cafes in Tokyo","Tokyo alley cafe route (KO)","tokyo hidden cafe"
guide_071,"Osaka North Area Cafe Guide","Osaka north area cafes (KO)","osaka north cafe"
guide_072,"Osaka South Area Cafe Guide","Osaka south area cafes (KO)","osaka south cafe"
guide_073,"Best Cafes Near Universal Studios Japan Route","USJ route cafes (KO)","usj nearby cafe"
guide_074,"Best Cafes for Rainy Days in Osaka","Osaka rainy day cafes (KO)","osaka rainy cafe"
guide_075,"Best Independent Cafes in Osaka","Osaka independent cafes (KO)","osaka indie cafe"
guide_076,"Best Cafe-Brunch Spots in Osaka","Osaka cafe brunch spots (KO)","osaka brunch cafe"
guide_077,"Best Quiet Morning Cafes in Osaka","Osaka morning quiet cafes (KO)","osaka morning cafe"
guide_078,"Best Night Atmosphere Cafes in Osaka","Osaka night atmosphere cafes (KO)","osaka night cafe"
guide_079,"Best Cafes with Great Desserts in Osaka","Osaka dessert-focused cafes (KO)","osaka dessert cafes"
guide_080,"Osaka Cafe Hopping by Subway Line","Osaka subway cafe hopping (KO)","osaka subway cafe route"
guide_081,"Kyoto Cafe Guide by Season: Spring","Kyoto spring cafes (KO)","kyoto spring cafe"
guide_082,"Kyoto Cafe Guide by Season: Summer","Kyoto summer cafes (KO)","kyoto summer cafe"
guide_083,"Kyoto Cafe Guide by Season: Autumn","Kyoto autumn cafes (KO)","kyoto autumn cafe"
guide_084,"Kyoto Cafe Guide by Season: Winter","Kyoto winter cafes (KO)","kyoto winter cafe"
guide_085,"Best Traditional Interiors in Kyoto Cafes","Kyoto traditional interior cafes (KO)","kyoto traditional cafe"
guide_086,"Best Modern Design Cafes in Kyoto","Kyoto modern design cafes (KO)","kyoto modern cafe"
guide_087,"Best Cafes Along Kyoto River Walk","Kyoto river walk cafes (KO)","kyoto river cafe"
guide_088,"Best Cafes Near Kyoto Station for Day Trips","Kyoto station daytrip cafes (KO)","kyoto station cafe daytrip"
guide_089,"Top 10 Kyoto Matcha Drink Cafes","Kyoto matcha drink cafes (KO)","kyoto matcha drinks"
guide_090,"Kyoto Morning Cafe Route Before Temple Visits","Kyoto morning cafe temple route (KO)","kyoto morning cafe route"
guide_091,"Fukuoka Neighborhood Cafe Guide for EN/KO Visitors","Fukuoka neighborhood cafes (KO)","fukuoka neighborhood cafe"
guide_092,"Sapporo Neighborhood Cafe Guide for EN/KO Visitors","Sapporo neighborhood cafes (KO)","sapporo neighborhood cafe"
guide_093,"Japan Cafe Wi-Fi Reliability Guide by City","Japan city wifi cafe guide (KO)","japan cafe wifi city"
guide_094,"Best Cafes Near Major JR Stations in Japan","Japan JR station cafes (KO)","jr station cafe japan"
guide_095,"How to Pick Cafes for Remote Meetings in Japan","Japan remote meeting cafes (KO)","japan remote work cafe"
guide_096,"Best Quiet Cafes for Reading in Japan","Japan reading cafes (KO)","japan quiet reading cafe"
guide_097,"Best Cafes with Unique Interiors in Japan","Japan unique interior cafes (KO)","japan design cafe"
guide_098,"Top Cafe Souvenirs and Coffee Beans to Buy","Japan cafe souvenirs guide (KO)","japan cafe souvenirs"
guide_099,"How to Plan a 7-Day Japan Cafe Trip","7 day Japan cafe trip (KO)","japan 7 day cafe trip"
guide_100,"Ultimate EN/KO Traveler's Guide to Cafes in Japan","Ultimate Japan cafe guide EN KO (KO)","japan cafe guide en ko"
