Name,Lat,Lng,Address,Features,Agoda
Kawaramachi Folding Cafe,35.0037,135.7708,"Kyoto, Kawaramachi","Third wave espresso | Quiet seats | Laptop friendly",
Karasuma Oishi Coffee,35.0214,135.7556,"Kyoto, Karasuma","Dessert pairing | Stylish interior | English menu",
Higashiyama Stone Path Cafe,35.0302,135.7783,"Kyoto, Higashiyama","Single origin beans | Late hours | Cozy lighting",
Nishijin Silk Latte,35.0153,135.7474,"Kyoto, Nishijin","Brunch set | Fast Wi-Fi | Tourist friendly",
Pontocho Night River Coffee,35.0021,135.7620,"Kyoto, Pontocho","Pour-over bar | Calm vibe | Window seats",
Demachi Kamogawa Cafe,35.0377,135.7729,"Kyoto, Demachiyanagi","House roast | Group tables | Easy access",
Ichijoji Forest Roast,35.0478,135.7801,"Kyoto, Ichijoji","Garden terrace | Hand drip | Family friendly",
Kitayama Garden Coffee,35.0512,135.7632,"Kyoto, Kitayama","Signature latte | Dessert cafe | Photo spot",
Nijo Castle West Cafe,35.0099,135.7435,"Kyoto, Nijo","Work-friendly layout | Stable internet | Morning open",
Nanzenji Philosopher Drip,35.0270,135.7894,"Kyoto, Nanzenji","Scenic temple route | Espresso tonic | Relaxed music",
Kiyomizu Slope Beans,35.0058,135.7812,"Kyoto, Kiyomizu","Cowork-friendly | Charging stations | Long stay",
Eiga Village Coffee Uzumasa,35.0195,135.7358,"Kyoto, Uzumasa","Transit hub cafe | Fast service | Good pastries",
Daitokuji Zen Blend,35.0406,135.7489,"Kyoto, Daitokuji","Traditional kissaten style | Retro interior | Local snacks",
Fushimi Sake Alley Coffee,35.0132,135.7910,"Kyoto, Fushimi","Affordable drip | Study seats | Neighborhood vibe",
Tofukuji Maple Terrace,35.0244,135.7986,"Kyoto, Tofukuji","Premium beans | Date-night mood | Artisan desserts",
Kyotoeki Porta Blend,35.0007,135.7514,"Kyoto, Kyoto Station","Business district cafe | Early opening | Quick grab",
Kinkaku Garden View Cafe,35.0333,135.7412,"Kyoto, Kinkakuji","Manual brew station | Minimalist decor | Quiet floor",
Shijo Karasuma Corner,35.0178,135.7591,"Kyoto, Shijo","Roastery attached | Bean tasting | Expert baristas",
Sanjo Keihan Coffee Stand,35.0088,135.7723,"Kyoto, Sanjo","Balanced menu | Friendly staff | Local favorite",
Tenjin Vivre Lane Coffee,33.5902,130.4017,"Fukuoka, Tenjin","Specialty coffee | Wi-Fi | Power outlets",
Hakata Station Roast,33.5890,130.4205,"Fukuoka, Hakata","Third wave espresso | Quiet seats | Laptop friendly",
Daimyo Snug Cafe,33.5823,130.3968,"Fukuoka, Daimyo","Dessert pairing | Stylish interior | English menu",
Nakasu Neon River Coffee,33.5771,130.4079,"Fukuoka, Nakasu","Single origin beans | Late hours | Cozy lighting",
Momochi Beach Latte,33.5739,130.3765,"Fukuoka, Momochi","Brunch set | Fast Wi-Fi | Tourist friendly",
Ohori Park Bench Coffee,33.5956,130.3842,"Fukuoka, Ohori","Pour-over bar | Calm vibe | Window seats",
Yakuin Office Coffee,33.6031,130.3984,"Fukuoka, Yakuin","House roast | Group tables | Easy access",
Sumiyoshi Shrine Blend,33.5668,130.4137,"Fukuoka, Sumiyoshi","Garden terrace | Hand drip | Family friendly",
Chiyo Quiet Cup,33.5861,130.4312,"Fukuoka, Chiyo","Signature latte | Dessert cafe | Photo spot",
Fukuoka Gion Drip,33.5794,130.4230,"Fukuoka, Gion","Work-friendly layout | Stable internet | Morning open",
Higashi Park Edge Cafe,33.6005,130.4101,"Fukuoka, Higashi","Scenic park edge | Espresso tonic | Relaxed music",
Ropponmatsu Lab Coffee,33.5710,130.3893,"Fukuoka, Ropponmatsu","Cowork-friendly | Charging stations | Long stay",
Haruyoshi Retro Kissaten,33.5637,130.4011,"Fukuoka, Haruyoshi","Transit hub cafe | Fast service | Good pastries",
Yoshizuka Morning Base,33.5979,130.4278,"Fukuoka, Yoshizuka","Traditional kissaten style | Retro interior | Local snacks",
Hakozaki University Street Cafe,33.6073,130.3897,"Fukuoka, Hakozaki","Affordable drip | Study seats | Neighborhood vibe",
Meinohama Seaside Coffee,33.5848,130.3724,"Fukuoka, Meinohama","Premium beans | Date-night mood | Artisan desserts",
Nishijin Fukuoka Roasters,33.5752,130.3605,"Fukuoka, Nishijin","Business district cafe | Early opening | Quick grab",
Kashiihama Harbor Coffee,33.5696,130.4342,"Fukuoka, Kashiihama","Manual brew station | Minimalist decor | Quiet floor",
Minoshima Canal Coffee,33.5927,130.4174,"Fukuoka, Minoshima","Roastery attached | Bean tasting | Expert baristas",
Canal Side Coffee House,33.5816,130.4098,"Fukuoka, Canal City Area","Balanced menu | Friendly staff | Local favorite",
Odori Snow Crystal Cafe,43.0687,141.3508,"Sapporo, Odori","Specialty coffee | Wi-Fi | Power outlets",
Susukino Night Espresso,43.0621,141.3544,"Sapporo, Susukino","Third wave espresso | Quiet seats | Laptop friendly",
Sapporo Eki North Blend,43.0705,141.3579,"Sapporo, Sapporo Station","Dessert pairing | Stylish interior | English menu",
Nakajima Park Island Cafe,43.0559,141.3402,"Sapporo, Nakajima","Single origin beans | Late hours | Cozy lighting",
Hokudai Gate Coffee,43.0791,141.3378,"Sapporo, Hokkaido University","Brunch set | Fast Wi-Fi | Tourist friendly",
Naebo Warehouse Roast,43.0834,141.3655,"Sapporo, Naebo","Pour-over bar | Calm vibe | Window seats",
Hiragishi Neighborhood Kissaten,43.0478,141.3531,"Sapporo, Hiragishi","House roast | Group tables | Easy access",
Toyohira River Beans,43.0399,141.3634,"Sapporo, Toyohira","Garden terrace | Hand drip | Family friendly",
Soen Incline Coffee,43.0742,141.3326,"Sapporo, Soen","Signature latte | Dessert cafe | Photo spot",
Kita24 Morning Factory,43.0876,141.3493,"Sapporo, Kita 24-jo","Work-friendly layout | Stable internet | Morning open",
Kikusui Riverside Cafe,43.0586,141.3717,"Sapporo, Kikusui","Scenic river route | Espresso tonic | Relaxed music",
Asabu Hill Roasters,43.0941,141.3602,"Sapporo, Asabu","Cowork-friendly | Charging stations | Long stay",
Shinkotoni Local Blend,43.1023,141.3459,"Sapporo, Shinkotoni","Transit hub cafe | Fast service | Good pastries",
Shiroishi Retro Coffee,43.0489,141.3821,"Sapporo, Shiroishi","Traditional kissaten style | Retro interior | Local snacks",
Nishi Juichi Homework Cafe,43.0661,141.3277,"Sapporo, Nishi 11-chome","Affordable drip | Study seats | Neighborhood vibe",
Higashi Sapporo Oven & Coffee,43.0778,141.3740,"Sapporo, Higashi Sapporo","Premium beans | Date-night mood | Artisan desserts",
Kotoni Station Latte,43.0904,141.3318,"Sapporo, Kotoni","Business district cafe | Early opening | Quick grab",
Maruyama Park Hojicha House,43.0527,141.3345,"Sapporo, Maruyama","Manual brew station | Minimalist decor | Quiet floor",
Atsubetsu Family Roast,43.0613,141.3905,"Sapporo, Atsubetsu","Roastery attached | Bean tasting | Expert baristas",
Tanukikoji Underground Espresso,43.0729,141.3437,"Sapporo, Tanukikoji","Balanced menu | Friendly staff | Local favorite",
